Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Pop Cost,Training Time,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description
,,,bellerophon (hero),,,,,400,6,4,30,440,16,Melee Attack,1.2, MythUnit:  4.50,1,15,,7,,20,55,99,,6,"Mounted Hero that leaps into battle on the winged horse, Pegasus. Good against myth units. Switches to a ranged attack to fight flying units."
,,,berserk,,,50,,30,,2,9,85,18,Melee Attack,0.7, Building:  1.60,0.5,0.65,,,,35,10,99,,4.8,Infantry. Good against whatever it can reach.
,,,bireme,,,,100,50,,3,16,290,20,Ranged Attack,1.5,,16,,8,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
,,,caladria,,,,100,25,12,2,9,100,20,Pacify,3.5,,18,,,,,5,45,80,,5,"Myth unit. Heals allied units and slows down enemy units. Has no attack, and can only be attacked by ranged units."
,,,camel caravan,,,100,25,,,1,18,115,16,,,,,,,,,30,30,99,,3.8,
,,,camel rider,,,50,,70,,3,6,135,16,Melee Attack,1," AbstractCavalry:  2.00,  AbstractArcher:  1.25",0.75,8,,,,15,40,99,,6,"Cavalry. A fast, expensive unit that is good against ranged soldiers and cavalry."
,,,carcinos,,,,200,,15,3,9,900,16,Melee Attack,1.2," MythUnit:  2.00,  Hero:  0.50",0.5,35,,,20,70,60,80,,5,Myth unit. Giant crustacean that is good against ships.
,,,carnivora,,,,,,25,0,,600,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.50",3,20,,,,35,20,80,,Immoveable,
,,,catapult,,,,200,200,,5,26,115,36,Wall Breaching,4, Ship:  2.50,,,40,,250,30,90,85,,2.4,Ranged siege weapon. Good against buildings and ships.
,,,centaur,,,,180,,14,3,22,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",12,,18,,,15,20,80,,5.5,Ranged myth unit. Fast cavalry archer with an arrow volley special attack. Good against human soldiers.
,,,centimanus,,,,,300,25,4,18,900,16,Melee Attack,1.5, Hero:  0.25,0.5,55,,,80,60,60,80,,3.3,Myth unit. A mighty giant who pounds the ground to knock back his enemies. Good against human soldiers.
,,,chariot archer,,,,100,40,,3,8,95,21,Ranged Attack,1.5, AbstractInfantry:  1.50,19,,11,,,15,20,99,,5,
,,,cheiroballista (hero),,,,200,175,4,4,,120,22,Ranged Attack,2," AbstractInfantry:  5.00,  MythUnit:  8.00,  Ship:  3.00",17,,4,,,20,50,85,,4.1,
,,,cheiroballista,,,,115,100,,4,24,105,22,Ranged Attack,2," AbstractInfantry:  5.00,  Ship:  3.00",17,,3,,,20,50,85,,3.8,
,,,chimera,,,300,,,28,4,20,700,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",1,20,,,,60,60,80,,5.3,Myth unit that can breathe fire on adjacent units. Good against human soldiers.
,,,chiron (hero),,,,250,100,4,2,25,350,20,Ranged Attack,1.5, MythUnit:  6.50,18,,13,,,20,30,99,,5.5,Hero. Has a ranged attack that is good against myth units.
,,,chiwen,,,,150,150,20,3,15,300,22,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,35,,,15,40,60,80,,5.2,Myth unit. Strong aquatic unit with a regenerative shield. Good against ships.
,,,chu ko nu,,,,90,55,,3,16,90,16,Ranged Attack,2.8,,16,,8,,,20,25,99,,3.8,Ranged soldier. Versatile Chinese crossbowman with a rapid-fire attack.
,,,citizen (hero),,,150,25,,2,2,,125,16,Ranged Attack,2,,15,,22,,,25,35,99,,3.8,
,,,citizen,,,85,15,,,2,30,100,16,Ranged Attack,2,,14,,20,,,25,35,99,,3.8,
,,,colossus,,,,,350,30,4,24,1200,16,Melee Attack,1.3, Hero:  0.50,0.5,26,,,100,50,75,80,,3,Siege myth unit. This titanic construct can eat trees or mines to heal itself. Good against human soldiers and buildings.
,,,contarius (hero),,,115,,70,3,3,,155,16,Melee Attack,1.5," MythUnit:  7.00,  AbstractArcher:  1.50",1,15,,,,15,45,99,,6.05,"Cavalry, Hero. Good against ranged soldiers and myth units."
,,,contarius,,,65,,40,,3,16,140,14,Melee Attack,1.5, AbstractArcher:  1.50,1,13.5,,,,15,45,99,,5.75,Cavalry. Good against ranged soldiers and siege engines.
,,,dao swordsman,,,30,,55,,2,14,135,16,Melee Attack,1.2, Building:  1.60,0.5,9,,,,30,30,99,,3.8,wh Slow but durable Chinese infantry. Decent vs. everything.
,,,destroyer (hero),,,125,,105,3,3,,165,18,Melee Attack,1.2," Building:  9.60,  MythUnit:  11.00",1.5,7,,,,30,70,99,,3.9,"Infantry, Hero. Good against buildings and myth units."
,,,destroyer,,,70,,60,,3,7,150,16,Melee Attack,1.2, Building:  9.60,1.5,6,,,,30,70,99,,3.6,
,,,donkey caravan,,,100,25,,,1,18,115,16,,,,,,,,,30,30,99,,3.8,
,,,doujian,,,,100,50,,2,16,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
,,,dragon ship,,,,100,50,,3,16,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2.5,,4.5,10,60,10,,4.8,
,,,draugr,,,,225,,14,2,14,320,20,Ranged Attack,1," MythUnit:  2.00,  Hero:  0.50",14,,5,2,,25,30,80,,3.8,Myth unit. Reanimated archer that fires spectral arrows which penetrate all enemies in their path. Good against human soldiers.
,,,dreki,,,,100,50,,3,16,320,16,Melee Attack,1.5,,2,27.5,,,,30,10,50,,7,
,,,dryad,,,,175,,,0,13,275,16,Melee Attack,1.5, Hero:  0.50,0.5,22,,,,40,50,80,,4.5,Myth unit. Dryads are trained at the Hesperides Tree. Good against human soldiers.
,,,dwarf,,,,,60,,1,18,55,16,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,"Dwarves are good at mining Gold, but weak at gathering Food and Wood. They can construct Farms, Houses, and Ox Carts."
,,,fafnir,,,,,300,35,5,12,1400,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.50",4,12,,,8,65,70,80,,4.8,"Myth unit. Cursed, but devastatingly powerful wingless dragon that engulfs enemies with fire and poison. Grants Gold to its slayer. Exceptional"
,,,fanatic (hero),,,130,,95,3,3,,170,18,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  MythUnit:  6.00",0.5,12,,,,40,15,99,,4.6,"Infantry, Hero. Good against infantry, cavalry and myth units."
,,,fanatic,,,75,,55,,3,7,155,16,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  Building:  1.60",0.5,10.5,,,,40,15,99,,4.3,Infantry. Good against infantry and cavalry.
,,,fei,,,60,,,8,0,,75,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50,  AbstractVillager:  O.50",0.75,9,,,,10,25,99,,5,
,,,fenris wolf brood,,,175,,,15,2,12,550,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.25",1,40,,,,40,55,80,,5.5,"Myth unit. The larger the pack of Fenris Wolves, the stronger they get. Good against human soldiers."
,,,fire archer,,,,50,35,,2,9,65,16,Ranged Attack,1," AbstractInfantry:  3.00,  Building:  6.00",12,,4,,,25,10,99,,4,
,,,fire giant,,,,,300,28,4,24,600,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.25",14,45,,,20,60,70,80,,3.2,Myth unit. A mighty engine of destruction who hurls fireballs at enemies. Good against human soldiers and buildings.
,,,fire ship,,,,100,50,,3,16,320,16,Ranged Attack,1.5,,6,25,,,,30,10,50,,7,Close-combat ship. Good against siege ships.
,,,fire siphon,,,,275,180,,5,19,400,22,Wall Breaching,1.7,,,,20,,125,5,90,85,,2.9,
,,,fishing ship chinese,,,,50,,,1,18,100,20,,,,3,,,50,50,60,50,5,,4.8,
,,,fishing ship egyptian,,,,50,,,1,18,100,20,,,,,,,,,60,50,5,,4.8,
,,,fishing ship greek,,,,50,,,1,18,100,20,,,,,,,,,60,50,5,,4.8,
,,,fishing ship norse,,,,50,,,1,18,100,20,,,,,,,,,60,50,5,,4.8,
,,,fishing ship,,,,50,,,1,18,100,20,,,,,,,,,60,50,5,,4.8,
,,,frost giant,,,,,200,22,4,20,600,16,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",0.5,36,,,30,55,70,80,,3.8,w Hitpoints 600 & Crush Armor 80 % ¥ Hack Armor
,,,gastraphetoros,,,,100,60,,3,9,80,28,Ranged Attack,2.1, Building:  20.00,23,,12,,,5,15,99,,3.8,Archer of Hades. Good against infantry and buildings. Benefits from ranged soldier improvements.
,,,gatherer,,,50,,,,1,18,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,"Norse Gatherers can only collect resources and build Farms, Houses, and Ox Carts. Use infantry to build buildings."
,,,ge halberdier,,,50,,35,,2,14,95,16,Melee Attack,1.1," AbstractCavalry:  5.00,  Building:  1.60",0.75,4,,,,40,5,99,,5,Counter cavalry. Infantry only good against cavalry.
,,,godi,,,,80,40,,3,16,85,19,Ranged Attack,1.5, MythUnit:  6.00,17,,7,,,20,15,99,,4,
,,,helepolis,,,,300,200,,5,24,650,18,Wall Breaching,2,,10,,10,,50,5,90,85,,2.9,Siege weapon. A rolling tower that can transport units and fire ballista bolts at buildings.
,,,heracles (hero),,,75,,175,2,3,20,325,16,Melee Attack,1.2, MythUnit:  8.00,0.75,12,,,,25,30,99,,5,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
,,,hero of ragnarok dwarf,,,80,,40,,2,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,25,15,99,,4.3,"Infantry, Hero. Summoned to participate in the final battle of the gods. Collects Relics."
,,,hero of ragnarok,,,80,,40,,2,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,25,15,99,,4.3,"Infantry, Hero. Summoned to participate in the final battle of the gods. Collects Relics."
,,,hersir (hero),,,80,,40,,3,16,130,16,Melee Attack,1.2," MythUnit:  6.00,  Building:  1.60",0.75,0.8,,,,20,25,99,,4.8,"Infantry, Hero. Good against myth units. Generates Favor faster and collects Relics."
,,,hetairos,,,50,,90,,3,8,160,10,Melee Attack,1, AbstractArcher:  1.50,0.75,8,,,,5,40,99,,5,Cavalry of Poseidon. Deals area damage and is good against most units. Benefits from cavalry improvements.
,,,hippeus,,,40,,80,,3,16,150,12,Melee Attack,1, AbstractArcher:  1.50,0.75,10,,,,15,45,99,,5.5,Cavalry. Good against ranged soldiers and siege engines.
,,,hippocampus,,,,,,,0,,70,16,,,,,,,,,10,70,80,,6.6,Scientific name -- Hippocampus spp.
,,,hippolyta (hero),,,,250,100,4,2,25,325,22,Ranged Attack,1.7, MythUnit:  6.50,20,,15,,,25,35,99,,4.3,Hero. Has a ranged attack that is good against myth units.
,,,hirdman,,,40,,45,,2,14,90,16,Melee Attack,1," AbstractCavalry:  4.00,  Building:  1.60",0.75,5,,,,35,5,99,,4.8,Counter cavalry. Infantry only good against cavalry.
,,,hoplite,,,50,,40,,2,12,115,16,Melee Attack,1," AbstractCavalry:  1.25,  Building:  1.60",0.75,8,,,,40,15,99,,4.3,Infantry. Good against cavalry.
,,,hundun,,,220,,,30,3,20,1200,16,Melee Attack,1.33," MythUnit:  2.00,  Hero:  0.25",1,40,,,50,45,65,80,,3.6,Myth unit. Faceless being that can temporarily banish and terrify enemy units. Good against human soldiers.
,,,huskarl,,,,75,40,,2,6,115,16,Melee Attack,1," AbstractArcher:  2.00,  Building:  1.60",0.5,7,,,,10,60,99,,5,
,,,hydra,,,250,,,28,4,20,800,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2,30,,,18,60,50,80,,4,
,,,hypaspist,,,60,,25,,2,9,95,16,Melee Attack,1.2," AbstractInfantry:  5.00,  Building:  1.60",0.5,6,,,,35,10,99,,4.3,| Counter infantry. Infantry only good against other infantry.
,,,jarl,,,50,,80,,3,14,190,16,Melee Attack,1,,0.75,11,,,,25,40,99,,4.8,Elite heavy cavalry. Good against human soldiers.
,,,jason (hero),,,100,50,,,2,5,200,16,Melee Attack,1.5, MythUnit:  12.00,0.75,2.25,,,,35,35,99,,4.3,
,,,jormun elver,,,200,,,15,4,10,1200,22,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.50",16,,60,,,45,60,80,,6,
,,,juggernaut,,,,100,50,,3,16,265,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
,,,katapeltes (hero),,,105,,60,2,2,,130,16,Melee Attack,1.2," MythUnit:  9.00,  AbstractCavalry:  4.00,  Building:  1.60",0.75,7,,,,35,10,99,,4.8,Counter cavalry. Infantry hero only good against cavalry and myth units.
,,,katapeltes,,,60,,35,,2,10,115,14,Melee Attack,1.2," AbstractCavalry:  4.00,  Building:  1.60",0.75,6,,,,35,10,99,,4.5,Counter cavalry. Infantry only good against cavalry.
,,,kebenit,,,,90,45,,3,16,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
,,,kraken,,,300,,,20,4,10,800,16,Melee Attack,3.6," MythUnit:  3.00,  Hero:  0.50",1,54,,,18,50,70,80,,6,
,,,kuafu,,,50,,100,15,3,36,175,16,Ranged Attack,2, AbstractTower:  4.00,6,,22,,5,30,40,99,,3.6,A giant villager who excels at gathering Wood and Gold. Can construct buildings very quickly.
,,,lampades,,,,,220,22,4,20,350,16,Ranged Attack,2," MythUnit:  2.00,  Hero:  0.25",14,,24,20,,40,50,80,,4.3,Myth unit. Can invoke chaos on units at range. Good against human soldiers.
,,,leviathan,,,,,200,15,3,10,1020,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2,38,,,,40,60,80,,4.2,Myth unit. Living naval transport. Good against ships.
,,,li jing (hero),,,,200,300,8,4,30,300,24,Ranged Attack,1.4, MythUnit:  4.00,20,,14,,,30,35,99,,4.5,
,,,llama caravan,,,100,25,,,1,18,115,16,,,,,,,,,30,30,99,,3.8,
,,,longboat,,,,100,50,,3,16,290,20,Ranged Attack,1.5,,15,,9,,,50,30,5,,5.5,
,,,louchuan,,,,100,50,,2,12,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,4.8,
,,,man o' war,,,250,,,15,4,10,900,16,,,,,,,,,50,70,80,,6,
,,,manticore,,,,250,,25,4,17,420,18,Ranged Attack,1," MythUnit:  3.00,  Hero:  0.25",16,,11,,,30,60,80,,4.6,Ranged myth unit that fires a volley of spines from its tail. Good against human soldiers.
,,,mechanical ox caravan,,,100,25,,,1,18,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
,,,medusa,,,,250,,24,4,20,500,16,Ranged Attack,1.7," MythUnit:  2.00,  Hero:  0.25",16,,35,,5,60,70,80,,4.3,
,,,mengchong,,,,100,50,,2,16,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,Close-combat ship. Good against siege ships.
,,,mercenary cavalry,,,,,120,,0,2,160,12,Melee Attack,1, AbstractArcher:  1.50,0.75,8,,,,20,35,99,,5.3,"Mercenaries train quickly, but are expensive and only last a short time. Good against ranged soldiers."
,,,mercenary,,,,,90,,0,1,90,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,7,,,,35,15,99,,4.3,"Mercenaries train quickly, but are expensive and only last a short time. Good against cavalry."
,,,militia,,,70,,,,1,,100,20,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,5,,,,30,20,99,,4.8,
,,,minion reincarnated,,,,,50,10,0,,140,16,Melee Attack,0.9, Hero:  0.25,0.5,9,,,,35,40,80,,4.75,
,,,minion,,,,,50,10,0,,140,16,Melee Attack,0.9, Hero:  0.25,0.5,9,,,,35,40,80,,4.75,Myth unit. Fallen soldiers that decay after a short time. Good against human soldiers.
,,,minotaur,,,,,180,15,3,20,320,16,Melee Attack,1.1," MythUnit:  2.00,  Hero:  0.50",1,17,,,,60,50,80,,4.5,
,,,mountain giant,,,250,,,25,4,17,1200,16,Melee Attack,1.3, Hero:  0.50,1,26,,,40,50,40,80,,3.2,Siege myth unit. A massive thug who crushes smaller units and smashes buildings with his club. Good against buildings; decent against human
,,,mummy,,,,275,,25,4,17,450,16,Ranged Attack,1.7," MythUnit:  3.00,  Hero:  0.25",12,,30,,,35,50,80,,4,"Myth unit. Undead Pharaohs that can curse enemy units, converting them into Minions if they fall. Good against human soldiers."
,,,murmillo (hero),,,95,,55,2,2,,125,18,Melee Attack,0.8," MythUnit:  5.50,  Building:  1.60",0.5,7.5,,,,40,10,99,,4.8,"Infantry, Hero. Good against myth units."
,,,murmillo,,,55,,30,,2,14,110,16,Melee Attack,0.8, Building:  1.60,0.5,7,,,,40,10,99,,4.5,Infantry. Good in melee combat.
,,,myrmidon,,,70,,50,,3,6,150,16,Melee Attack,1.4, Building:  1.60,0.5,,,10,,40,20,99,,4.3,"Infantry of Zeus. Deals divine damage, which ignores standard armor values. Benefits from infantry improvements."
,,,nemean lion,,,,,250,22,3,20,660,16,Melee Attack,1.1," MythUnit:  3.00,  Hero:  0.50",1,22,,,14,30,60,80,,4.8,Myth unit whose roar causes damage to all enemies in the area. Good against human soldiers.
,,,nereid,,,,,200,15,2,12,600,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,25,,,,30,50,80,,5,
,,,nezha (child) (hero),,,,100,50,,2,16,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,
,,,nezha (hero),,,,,450,5,0,15,400,22,Melee Attack,1.2, MythUnit:  6.50,1,15,,,,30,30,99,,5,"Hero. Good against everything, but especially myth units. Collects Relics. Nezha's combat ability increases through the Ages."
,,,nezha (youth) (hero),,,,,300,5,0,10,300,18,Melee Attack,1.2, MythUnit:  6.50,0.75,12,,,,30,30,99,,5,"Hero. Good against everything, but especially myth units. Collects Relics. Nezha's combat ability increases through the Ages."
,,,nidhogg,,,,,,,0,,2800,40,Ranged Attack,2, Hero:  0.10,4,40,,,50,50,50,80,,4.3,w Hitpoints 2800 & Crush Armor 80 % ¥ Hack Armor 50 % a Pierce Armor 50 %
,,,odysseus,,,,250,100,4,2,25,350,20,Ranged Attack,1.2, MythUnit:  6.50,18,,11,,,25,35,99,,4.3,
,,,oracle hero,,,30,,45,1,1,12,105,3,Melee Attack,1.5, MythUnit:  6.00,0.5,0.9,,,,20,50,99,,4.2,
,,,oracle,,,40,,60,,1,12,90,3,Melee Attack,1.5,,,,,,,15,45,99,,3.5,Scout whose line of sight grows when immobile. Cannot attack. Generates Favor.
,,,ox caravan,,,100,25,,,1,18,115,16,,,,,,,,,30,30,99,,3.8,
,,,ox cart,,,50,50,,,0,,120,6,,,,,,,,,30,40,99,,3.8,
,,,peasant,,,40,,,,1,18,50,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,Chinese Peasants gather resources and construct buildings.
,,,pegasus,,,50,,,2,2,6,100,18,,,,,,,,,50,50,80,,5,"Myth unit. Flying scout with no attack, but can only be attacked by ranged units."
,,,peltast,,,,70,25,,2,10,65,20,Ranged Attack,1.5, AbstractArcher:  4.00,18,,5,,,10,40,99,,4,Counter to ranged soldiers. Ranged soldier only good against other ranged soldiers.
,,,pentekonter,,,,100,50,,3,16,335,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,Close-combat ship. Good against siege ships.
,,,perseus (hero),,,,,400,6,4,30,480,16,Melee Attack,1.5, MythUnit:  7.00,0.75,18,,9,,20,40,99,,4.3,Age -- 36
,,,petrobolos,,,,125,150,,3,15,110,36,Wall Breaching,4, Ship:  2.50,,,10,,55,30,90,85,,2.4,
,,,petsuchos,,,,,200,15,3,20,480,22,,,,,,,,,40,45,80,,3.6,
,,,pharaoh new kingdom,,,,,,,0,,100,16,Ranged Attack,1, MythUnit:  2.50,3,,12,,,15,30,99,,4,
,,,phoenix,,,,,200,25,4,6,500,16,Ranged Attack,2.7," MythUnit:  2.00,  Hero:  0.25",4,50,,,65,15,55,80,,4.5,
,,,pioneer (hero),,,,75,30,,2,12,90,12,Ranged Attack,1.5, MythUnit:  11.00,4,,0.5,,,15,30,99,,4,"Ranged Soldier, Hero. Uses Sky Lanterns to scout. Decent against myth units."
,,,pixiu,,,150,50,,5,1,20,180,16,,,,,,,,,45,45,80,,3.8,Myth unit. Task Pixiu on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
,,,polyphemus (hero),,,,,400,6,4,30,700,20,Melee Attack,1.5, MythUnit:  4.00,0.75,25,,,15,40,40,99,,4.1,
,,,portable ram,,,,125,125,,3,13,275,14,Wall Breaching,1,,2,5,,,60,10,90,85,,3.5,Siege weapon. These soldiers carry a ram to knock down walls or other buildings.
,,,priest (hero),,,,,100,,2,10,80,12,Ranged Attack,0.8, MythUnit:  5.00,5,,0.5,,,10,1,99,,3.6,"Hero. Has a ranged attack that is strong against myth units, heals allied units, and constructs Obelisks. Priests' combat ability increases in later"
,,,prodromos,,,70,,40,,3,12,145,16,Melee Attack,1.3, AbstractCavalry:  3.50,1,8,,,,20,10,99,,6,Counter cavalry. Cavalry only good against other cavalry.
,,,promethean offspring,,,45,,,4,1,,80,12,Melee Attack,1.1," MythUnit:  1.50,  Hero:  0.50",0.5,6,,,3,15,35,80,,5.5,5.5 Nd Hack Damage ) Py Crush Damage 3 » Attack Interval 1.1
,,,promethean,,,90,,,9,2,14,175,16,Melee Attack,1.1," MythUnit:  3.00,  Hero:  0.50",0.75,12,,,6,55,25,80,,4.3,Myth unit. Men of clay that divide in two when killed. Good against human soldiers.
,,,qilin,,,220,,,18,3,16,290,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,12,,,,35,60,80,,5.3,Myth unit. Heals nearby units. Good against human soldiers and other myth units.
,,,qinglong,,,,325,,26,4,15,600,18,Charged Ranged Attack,2.4," MythUnit:  2.00,  Hero:  0.25",12,,35,,,35,55,80,,4.3,
,,,raiding cavalry,,,40,,50,,2,10,105,12,Melee Attack,1, AbstractArcher:  1.75,0.75,8,,,,20,40,99,,6,Counter to ranged soldiers. Cavalry only good against ranged soldiers and siege engines.
,,,ramming_galley,,,,90,45,,3,16,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,
,,,roc,,,,,100,5,3,14,700,16,,,,,,,,,,25,80,,5.3,Size -- 100' wingspan
,,,rock giant,,,,260,,24,4,14,850,16,Melee Attack,3.5, Hero:  0.50,1,50,,,36,60,75,40,,3.2,Myth unit. Primordial damage-absorbing giant with rock-solid durability. Good against human soldiers and buildings.
,,,sage (hero),,,100,,150,5,3,20,110,20,Ranged Attack,1, MythUnit:  4.00,13,,3,2,,5,25,99,,3.6,Intelligent ranged hero who specifically targets myth units by itself. Can heal allied units and summon mirror images of enemy myth units. Collects
,,,satyr,,,,250,,20,3,15,400,20,Ranged Attack,1," MythUnit:  3.00,  Hero:  0.25",18,,20,,,50,50,80,,3.75,Ranged myth unit. Can throw powerful piercing spears. Good against human soldiers.
,,,scarab,,,240,,,18,4,20,900,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,15,,,95,5,75,80,,3.2,900 & Crush Armor 80 % ¥ Hack Armor 5 % a Pierce Armor 75 %
,,,scorpion_man,,,,200,,24,3,20,550,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.50",1,30,,,,50,40,80,,5,
,,,scylla,,,,,200,20,4,15,800,16,Melee Attack,1.5," MythUnit:  1.50,  Hero:  0.50",2,30,,,15,40,65,80,,5.3,
,,,sea snake,,,,,,,0,,50,16,Melee Attack,1.3,,3,9,,,,5,20,50,,5.3,w Hitpoints 50 & Crush Armor 50 % ¥ Hack Armor 5 % a Pierce Armor 20 %
,,,serpent,,,,,,,0,,60,16,Melee Attack,1.2," AbstractVillager:  O.10,  OxCart:  O.10",0.75,5,,,,15,10,99,,4,50 & Crush Armor 99 % ¥ Hack Armor 15 % a Pierce Armor 10 %
,,,servant,,,,,125,12,2,15,300,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,8,,,4,25,30,80,,5.5,
,,,siege bireme,,,,100,50,,3,16,250,24,Flame Attack,2, AbstractArcherShip:  2.00,21,,2,,4,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
,,,siege crossbow,,,,150,150,,3,33,95,36,Wall Breaching,3,,,,40,,110,20,90,85,,2.4,
,,,siege tower,,,,200,100,,3,15,400,20,Wall Breaching,3.5,,3,,,,220,5,90,85,,2.9,"Siege weapon. A rolling tower that can transport units, fire arrows and ram buildings."
,,,sky lantern,,,,,,,0,,5,25,,,,,,,,,15,30,80,,3,
