Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Pop Cost,Training Time,Buildpoints,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description
unit,,,masterless sword,,,,,,,0,,,15,12,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,50,,,,20,30,80,,4,"A Samurai's sword, left behind after it perished. Can attack one final time."
unit,,,mechanical ox caravan,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
unit,,,medusa,,,,250,,24,4,20,,500,16,Ranged Attack,1.7," MythUnit:  2.00,  Hero:  0.25",16,,35,,5,60,70,80,,4.3,Ranged myth unit that petrifies most units at range. Good against human soldiers.
unit,,,mengchong,,,,100,50,,2,16,,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,Close-combat ship. Good against siege ships.
unit,,,mercenary cavalry,,,,,120,,0,2,,160,12,Melee Attack,1, AbstractArcher:  1.50,0.75,8,,,,20,35,99,,5.3,"Mercenaries train quickly, but are expensive and only last a short time. Good against ranged soldiers."
unit,,,mercenary,,,,,90,,0,1,,90,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,7,,,,35,15,99,,4.3,"Mercenaries train quickly, but are expensive and only last a short time. Good against cavalry."
unit,,,miko (hero),,,50,,,,1,12,,50,16,Melee Attack,2, MythUnit:  10.00,0.5,8,,,,25,35,99,,3.8,Priestess that can build Shrines and work at them to earn Favor. Heals allies.
unit,,,militia,,,70,,,,1,,,100,20,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,5,,,,30,20,99,,4.8,Infantry. Appear when Poseidon's buildings are destroyed to defend his town.
,,,minion other,,,,,,,,,,,,,,,,,,,,,,,,,Myth unit. Fallen soldiers that decay after a short time. Good against human soldiers.
unit,,,minion reincarnated,,,,,50,10,0,,,140,16,Melee Attack,0.9, Hero:  0.25,0.5,9,,,,35,40,80,,4.75,Myth unit. Fallen soldiers that decay after a short time. Good against human soldiers.
unit,,,minion,,,,,50,10,0,,,140,16,Melee Attack,0.9, Hero:  0.25,0.5,9,,,,35,40,80,,4.75,Myth unit. Fallen soldiers that decay after a short time. Good against human soldiers.
unit,,,minotaur,,,,,180,15,3,20,,320,16,Melee Attack,1.1," MythUnit:  2.00,  Hero:  0.50",1,17,,,,60,50,80,,4.5,Myth unit with a gore attack that sends units flying. Good against human soldiers.
unit,,,mountain giant,,,250,,,25,4,17,,1200,16,Melee Attack,1.3, Hero:  0.50,1,26,,,40,50,40,80,,3.2,Siege myth unit. A massive thug who crushes smaller units and smashes buildings with his club. Good against buildings; decent against human soldiers.
unit,,,mummy,,,,275,,25,4,17,,450,16,Ranged Attack,1.7," MythUnit:  3.00,  Hero:  0.25",12,,30,,,35,50,80,,4,"Myth unit. Undead Pharaohs that can curse enemy units, converting them into Minions if they fall. Good against human soldiers."
unit,,,murmillo (hero),,,95,,55,2,2,,,125,18,Melee Attack,0.8," MythUnit:  5.50,  Building:  1.60",0.5,7.5,,,,40,10,99,,4.8,"Infantry, Hero. Good against myth units."
unit,,,murmillo,,,55,,30,,2,14,,110,16,Melee Attack,0.8, Building:  1.60,0.5,7,,,,40,10,99,,4.5,Infantry. Good in melee combat.
unit,,,myrmidon,,,70,,50,,3,6,,150,16,Melee Attack,1.4, Building:  1.60,0.5,,,10,,40,20,99,,4.3,"Infantry of Zeus. Deals divine damage, which ignores standard armor values. Benefits from infantry improvements."
unit,,,naginata rider,,,45,,70,,3,15,,140,12,Melee Attack,1, AbstractArcher:  1.75,0.75,9,,,,20,50,99,,6,Cavalry. Good against ranged soldiers.
unit,,,nemean lion,,,,,250,22,3,20,,660,16,Melee Attack,1.1," MythUnit:  3.00,  Hero:  0.50",1,22,,,14,30,60,80,,4.8,Myth unit whose roar causes damage to all enemies in the area. Good against human soldiers.
unit,,,nereid,,,,,200,15,2,12,,600,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,25,,,,30,50,80,,5,Myth unit. Good against other water myth units.
unit,,,nezha (hero) (child),,,,100,50,,2,16,,320,16,Melee Attack,1.5,,2,25,,,,30,10,50,,7,"Hero. Good against everything, but especially myth units. Collects Relics. Nezha's combat ability increases through the Ages."
